wavelength,Intensity,Uncertainty
5312.34,1.59E-14,2.06E-16
5315.09,1.56E-14,2.05E-16
5317.84,1.56E-14,2.05E-16
5320.59,1.52E-14,2.02E-16
5323.34,1.52E-14,2.02E-16
5326.09,1.54E-14,2.03E-16
5328.84,1.57E-14,2.05E-16
5331.59,1.57E-14,2.05E-16
5334.34,1.57E-14,2.05E-16
5337.09,1.54E-14,2.03E-16
5339.84,1.52E-14,2.02E-16
5342.59,1.52E-14,2.02E-16
5345.34,1.47E-14,1.98E-16
5348.09,1.44E-14,1.96E-16
5350.84,1.40E-14,1.93E-16
5353.59,1.40E-14,1.94E-16
5356.34,1.45E-14,1.97E-16
5359.09,1.42E-14,1.95E-16
5361.84,1.42E-14,1.94E-16
5364.59,1.44E-14,1.96E-16
5367.34,1.42E-14,1.94E-16
5370.09,1.41E-14,1.93E-16
5372.84,1.42E-14,1.95E-16
5375.59,1.43E-14,1.95E-16
5378.34,1.45E-14,1.96E-16
5381.09,1.49E-14,1.99E-16
5383.84,1.46E-14,1.97E-16
5386.59,1.45E-14,1.96E-16
5389.34,1.39E-14,1.92E-16
5392.09,1.35E-14,1.89E-16
5394.84,1.35E-14,1.89E-16
5397.59,1.36E-14,1.89E-16
5400.34,1.40E-14,1.92E-16
5403.09,1.40E-14,1.92E-16
5405.84,1.40E-14,1.92E-16
5408.59,1.40E-14,1.92E-16
5411.34,1.37E-14,1.90E-16
5414.09,1.34E-14,1.88E-16
5416.84,1.35E-14,1.88E-16
5419.59,1.36E-14,1.89E-16
5422.34,1.35E-14,1.88E-16
5425.09,1.34E-14,1.88E-16
5427.84,1.34E-14,1.88E-16
5430.59,1.35E-14,1.88E-16
5433.34,1.38E-14,1.90E-16
5436.09,1.40E-14,1.92E-16
5438.84,1.41E-14,1.93E-16
5441.59,1.43E-14,1.94E-16
5444.34,1.45E-14,1.96E-16
5447.09,1.44E-14,1.95E-16
5449.84,1.40E-14,1.91E-16
5452.59,1.39E-14,1.91E-16
5455.34,1.35E-14,1.88E-16
5458.09,1.35E-14,1.89E-16
5460.84,1.37E-14,1.90E-16
5463.59,1.39E-14,1.91E-16
5466.34,1.36E-14,1.90E-16
5469.09,1.35E-14,1.89E-16
5471.84,1.35E-14,1.89E-16
5474.59,1.32E-14,1.87E-16
5477.34,1.30E-14,1.85E-16
5480.09,1.32E-14,1.87E-16
5482.84,1.33E-14,1.87E-16
5485.59,1.32E-14,1.87E-16
5488.34,1.33E-14,1.87E-16
5491.09,1.33E-14,1.87E-16
5493.84,1.31E-14,1.86E-16
5496.59,1.31E-14,1.85E-16
5499.34,1.30E-14,1.85E-16
5502.09,1.28E-14,1.84E-16
5504.84,1.29E-14,1.84E-16
5507.59,1.30E-14,1.85E-16
5510.34,1.29E-14,1.84E-16
5513.09,1.29E-14,1.84E-16
5515.84,1.32E-14,1.86E-16
5518.59,1.32E-14,1.86E-16
5521.34,1.31E-14,1.86E-16
5524.09,1.31E-14,1.85E-16
5526.84,1.30E-14,1.85E-16
5529.59,1.31E-14,1.85E-16
5532.34,1.30E-14,1.84E-16
5535.09,1.29E-14,1.84E-16
5537.84,1.31E-14,1.85E-16
5540.59,1.33E-14,1.87E-16
5543.34,1.36E-14,1.89E-16
5546.09,1.39E-14,1.91E-16
5548.84,1.38E-14,1.90E-16
5551.59,1.37E-14,1.89E-16
5554.34,1.36E-14,1.89E-16
5557.09,1.36E-14,1.89E-16
5559.84,1.37E-14,1.90E-16
5562.59,1.36E-14,1.89E-16
5565.34,1.35E-14,1.88E-16
5568.09,1.35E-14,1.88E-16
5570.84,1.32E-14,1.86E-16
5573.59,1.33E-14,1.88E-16
5576.34,1.31E-14,1.90E-16
5579.09,1.30E-14,1.94E-16
5581.84,1.28E-14,1.95E-16
5584.59,1.27E-14,1.90E-16
5587.34,1.29E-14,1.87E-16
5590.09,1.27E-14,1.83E-16
5592.84,1.27E-14,1.83E-16
5595.59,1.29E-14,1.84E-16
5598.34,1.30E-14,1.85E-16
5601.09,1.29E-14,1.84E-16
5603.84,1.29E-14,1.84E-16
5606.59,1.28E-14,1.84E-16
5609.34,1.27E-14,1.82E-16
5612.09,1.24E-14,1.81E-16
5614.84,1.22E-14,1.79E-16
5617.59,1.21E-14,1.78E-16
5620.34,1.24E-14,1.81E-16
5623.09,1.26E-14,1.82E-16
5625.84,1.27E-14,1.83E-16
5628.59,1.29E-14,1.84E-16
5631.34,1.32E-14,1.87E-16
5634.09,1.30E-14,1.85E-16
5636.84,1.32E-14,1.87E-16
5639.59,1.31E-14,1.86E-16
5642.34,1.28E-14,1.84E-16
5645.09,1.27E-14,1.84E-16
5647.84,1.29E-14,1.85E-16
5650.59,1.28E-14,1.83E-16
5653.34,1.27E-14,1.83E-16
5656.09,1.29E-14,1.85E-16
5658.84,1.29E-14,1.85E-16
5661.59,1.28E-14,1.84E-16
5664.34,1.28E-14,1.84E-16
5667.09,1.29E-14,1.85E-16
5669.84,1.28E-14,1.85E-16
5672.59,1.28E-14,1.84E-16
5675.34,1.29E-14,1.85E-16
5678.09,1.26E-14,1.83E-16
5680.84,1.25E-14,1.82E-16
5683.59,1.25E-14,1.82E-16
5686.34,1.26E-14,1.83E-16
5689.09,1.30E-14,1.86E-16
5691.84,1.31E-14,1.87E-16
5694.59,1.30E-14,1.86E-16
5697.34,1.32E-14,1.88E-16
5700.09,1.33E-14,1.89E-16
5702.84,1.35E-14,1.90E-16
5705.59,1.33E-14,1.88E-16
5708.34,1.31E-14,1.87E-16
5711.09,1.29E-14,1.86E-16
5713.84,1.30E-14,1.86E-16
5716.59,1.34E-14,1.89E-16
5719.34,1.36E-14,1.91E-16
5722.09,1.36E-14,1.91E-16
5724.84,1.38E-14,1.93E-16
5727.59,1.38E-14,1.92E-16
5730.34,1.40E-14,1.93E-16
5733.09,1.43E-14,1.96E-16
5735.84,1.48E-14,1.99E-16
5738.59,1.51E-14,2.01E-16
5741.34,1.53E-14,2.02E-16
5744.09,1.53E-14,2.02E-16
5746.84,1.50E-14,2.00E-16
5749.59,1.51E-14,2.01E-16
5752.34,1.51E-14,2.01E-16
5755.09,1.49E-14,2.00E-16
5757.84,1.48E-14,2.00E-16
5760.59,1.45E-14,1.98E-16
5763.34,1.45E-14,1.98E-16
5766.09,1.46E-14,1.98E-16
5768.84,1.50E-14,2.01E-16
5771.59,1.53E-14,2.03E-16
5774.34,1.55E-14,2.04E-16
5777.09,1.54E-14,2.03E-16
5779.84,1.49E-14,2.00E-16
5782.59,1.48E-14,1.99E-16
5785.34,1.43E-14,1.96E-16
5788.09,1.40E-14,1.94E-16
5790.84,1.38E-14,1.93E-16
5793.59,1.37E-14,1.92E-16
5796.34,1.37E-14,1.92E-16
5799.09,1.34E-14,1.89E-16
5801.84,1.32E-14,1.88E-16
5804.59,1.29E-14,1.86E-16
5807.34,1.26E-14,1.84E-16
5810.09,1.24E-14,1.82E-16
5812.84,1.29E-14,1.86E-16
5815.59,1.30E-14,1.87E-16
5818.34,1.32E-14,1.88E-16
5821.09,1.33E-14,1.89E-16
5823.84,1.32E-14,1.88E-16
5826.59,1.35E-14,1.90E-16
5829.34,1.36E-14,1.91E-16
5832.09,1.34E-14,1.90E-16
5834.84,1.32E-14,1.88E-16
5837.59,1.37E-14,1.91E-16
5840.34,1.37E-14,1.92E-16
5843.09,1.39E-14,1.93E-16
5845.84,1.39E-14,1.93E-16
5848.59,1.37E-14,1.91E-16
5851.34,1.39E-14,1.93E-16
5854.09,1.38E-14,1.92E-16
5856.84,1.38E-14,1.93E-16
5859.59,1.40E-14,1.94E-16
5862.34,1.40E-14,1.93E-16
5865.09,1.41E-14,1.95E-16
5867.84,1.44E-14,1.97E-16
5870.59,1.43E-14,1.96E-16
5873.34,1.44E-14,1.96E-16
5876.09,1.41E-14,1.94E-16
5878.84,1.43E-14,1.96E-16
5881.59,1.46E-14,1.98E-16
5884.34,1.46E-14,1.97E-16
5887.09,1.51E-14,2.02E-16
5889.84,1.53E-14,2.04E-16
5892.59,1.60E-14,2.10E-16
5895.34,1.65E-14,2.13E-16
5898.09,1.65E-14,2.13E-16
5900.84,1.68E-14,2.14E-16
5903.59,1.64E-14,2.10E-16
5906.34,1.60E-14,2.07E-16
5909.09,1.49E-14,1.99E-16
5911.84,1.38E-14,1.91E-16
5914.59,1.29E-14,1.85E-16
5917.34,1.23E-14,1.81E-16
5920.09,1.23E-14,1.81E-16
5922.84,1.27E-14,1.84E-16
5925.59,1.30E-14,1.86E-16
5928.34,1.35E-14,1.90E-16
5931.09,1.35E-14,1.90E-16
5933.84,1.36E-14,1.91E-16
5936.59,1.35E-14,1.90E-16
5939.34,1.36E-14,1.91E-16
5942.09,1.34E-14,1.89E-16
5944.84,1.31E-14,1.88E-16
5947.59,1.33E-14,1.88E-16
5950.34,1.31E-14,1.87E-16
5953.09,1.31E-14,1.87E-16
5955.84,1.29E-14,1.86E-16
5958.59,1.29E-14,1.85E-16
5961.34,1.31E-14,1.87E-16
5964.09,1.32E-14,1.88E-16
5966.84,1.34E-14,1.90E-16
5969.59,1.31E-14,1.88E-16
5972.34,1.32E-14,1.88E-16
5975.09,1.30E-14,1.87E-16
5977.84,1.33E-14,1.88E-16
5980.59,1.29E-14,1.86E-16
5983.34,1.30E-14,1.86E-16
5986.09,1.32E-14,1.88E-16
5988.84,1.33E-14,1.88E-16
5991.59,1.36E-14,1.90E-16
5994.34,1.33E-14,1.88E-16
5997.09,1.34E-14,1.90E-16
5999.84,1.34E-14,1.90E-16
6002.59,1.31E-14,1.88E-16
6005.34,1.29E-14,1.86E-16
6008.09,1.30E-14,1.86E-16
6010.84,1.30E-14,1.87E-16
6013.59,1.27E-14,1.85E-16
6016.34,1.32E-14,1.88E-16
6019.09,1.31E-14,1.87E-16
6021.84,1.30E-14,1.87E-16
6024.59,1.28E-14,1.86E-16
6027.34,1.29E-14,1.87E-16
6030.09,1.28E-14,1.86E-16
6032.84,1.27E-14,1.85E-16
6035.59,1.27E-14,1.86E-16
6038.34,1.26E-14,1.85E-16
6041.09,1.29E-14,1.87E-16
6043.84,1.27E-14,1.86E-16
6046.59,1.27E-14,1.85E-16
6049.34,1.29E-14,1.87E-16
6052.09,1.26E-14,1.85E-16
6054.84,1.29E-14,1.87E-16
6057.59,1.31E-14,1.88E-16
6060.34,1.32E-14,1.89E-16
6063.09,1.31E-14,1.89E-16
6065.84,1.33E-14,1.90E-16
6068.59,1.34E-14,1.90E-16
6071.34,1.32E-14,1.90E-16
6074.09,1.32E-14,1.90E-16
6076.84,1.37E-14,1.93E-16
6079.59,1.34E-14,1.92E-16
6082.34,1.36E-14,1.92E-16
6085.09,1.39E-14,1.95E-16
6087.84,1.44E-14,1.98E-16
6090.59,1.50E-14,2.02E-16
6093.34,1.55E-14,2.06E-16
6096.09,1.60E-14,2.09E-16
6098.84,1.68E-14,2.15E-16
6101.59,1.66E-14,2.13E-16
6104.34,1.67E-14,2.15E-16
6107.09,1.65E-14,2.13E-16
6109.84,1.62E-14,2.11E-16
6112.59,1.59E-14,2.09E-16
6115.34,1.56E-14,2.07E-16
6118.09,1.53E-14,2.05E-16
6120.84,1.52E-14,2.05E-16
6123.59,1.45E-14,2.01E-16
6126.34,1.39E-14,1.97E-16
6129.09,1.35E-14,1.94E-16
6131.84,1.32E-14,1.92E-16
6134.59,1.32E-14,1.92E-16
6137.34,1.33E-14,1.93E-16
6140.09,1.28E-14,1.89E-16
6142.84,1.26E-14,1.88E-16
6145.59,1.26E-14,1.88E-16
6148.34,1.29E-14,1.90E-16
6151.09,1.25E-14,1.87E-16
6153.84,1.28E-14,1.90E-16
6156.59,1.28E-14,1.90E-16
6159.34,1.24E-14,1.88E-16
6162.09,1.23E-14,1.86E-16
6164.84,1.24E-14,1.87E-16
6167.59,1.24E-14,1.88E-16
6170.34,1.27E-14,1.90E-16
6173.09,1.26E-14,1.89E-16
6175.84,1.26E-14,1.89E-16
6178.59,1.24E-14,1.88E-16
6181.34,1.24E-14,1.88E-16
6184.09,1.20E-14,1.86E-16
6186.84,1.18E-14,1.84E-16
6189.59,1.16E-14,1.82E-16
6192.34,1.18E-14,1.83E-16
6195.09,1.21E-14,1.86E-16
6197.84,1.20E-14,1.85E-16
6200.59,1.22E-14,1.87E-16
6203.34,1.24E-14,1.89E-16
6206.09,1.24E-14,1.89E-16
6208.84,1.22E-14,1.88E-16
6211.59,1.23E-14,1.89E-16
6214.34,1.22E-14,1.88E-16
6217.09,1.20E-14,1.87E-16
6219.84,1.17E-14,1.84E-16
6222.59,1.20E-14,1.87E-16
6225.34,1.23E-14,1.90E-16
6228.09,1.23E-14,1.90E-16
6230.84,1.22E-14,1.89E-16
6233.59,1.24E-14,1.91E-16
6236.34,1.23E-14,1.91E-16
6239.09,1.21E-14,1.90E-16
6241.84,1.18E-14,1.87E-16
6244.59,1.18E-14,1.88E-16
6247.34,1.19E-14,1.88E-16
6250.09,1.19E-14,1.88E-16
6252.84,1.21E-14,1.90E-16
6255.59,1.18E-14,1.87E-16
6258.34,1.18E-14,1.87E-16
6261.09,1.18E-14,1.88E-16
6263.84,1.19E-14,1.88E-16
6266.59,1.17E-14,1.87E-16
6269.34,1.16E-14,1.86E-16
6272.09,1.16E-14,1.87E-16
6274.84,1.16E-14,1.86E-16
6277.59,1.13E-14,1.84E-16
6280.34,1.12E-14,1.84E-16
6283.09,1.11E-14,1.84E-16
6285.84,1.13E-14,1.86E-16
6288.59,1.17E-14,1.89E-16
6291.34,1.22E-14,1.93E-16
6294.09,1.23E-14,1.94E-16
6296.84,1.28E-14,1.98E-16
6299.59,1.31E-14,2.01E-16
6302.34,1.36E-14,2.05E-16
6305.09,1.42E-14,2.10E-16
6307.84,1.52E-14,2.18E-16
6310.59,1.65E-14,2.26E-16
6313.34,1.80E-14,2.36E-16
6316.09,1.99E-14,2.48E-16
6318.84,2.13E-14,2.58E-16
6321.59,2.27E-14,2.67E-16
6324.34,2.36E-14,2.73E-16
6327.09,2.27E-14,2.68E-16
6329.84,2.16E-14,2.62E-16
6332.59,1.98E-14,2.50E-16
6335.34,1.81E-14,2.39E-16
6338.09,1.66E-14,2.29E-16
6340.84,1.52E-14,2.19E-16
6343.59,1.42E-14,2.12E-16
6346.34,1.38E-14,2.09E-16
6349.09,1.34E-14,2.05E-16
6351.84,1.33E-14,2.04E-16
6354.59,1.31E-14,2.03E-16
6357.34,1.28E-14,2.02E-16
6360.09,1.29E-14,2.02E-16
6362.84,1.29E-14,2.03E-16
6365.59,1.29E-14,2.03E-16
6368.34,1.31E-14,2.05E-16
6371.09,1.34E-14,2.07E-16
6373.84,1.40E-14,2.12E-16
6376.59,1.46E-14,2.17E-16
6379.34,1.50E-14,2.20E-16
6382.09,1.56E-14,2.24E-16
6384.84,1.63E-14,2.30E-16
6387.59,1.66E-14,2.33E-16
6390.34,1.68E-14,2.34E-16
6393.09,1.66E-14,2.33E-16
6395.84,1.62E-14,2.31E-16
6398.59,1.57E-14,2.27E-16
6401.34,1.50E-14,2.21E-16
6404.09,1.45E-14,2.18E-16
6406.84,1.41E-14,2.16E-16
6409.59,1.36E-14,2.12E-16
6412.34,1.34E-14,2.10E-16
6415.09,1.32E-14,2.10E-16
6417.84,1.31E-14,2.09E-16
6420.59,1.28E-14,2.07E-16
6423.34,1.27E-14,2.06E-16
6426.09,1.29E-14,2.09E-16
6428.84,1.28E-14,2.08E-16
6431.59,1.30E-14,2.10E-16
6434.34,1.32E-14,2.11E-16
6437.09,1.29E-14,2.09E-16
6439.84,1.31E-14,2.11E-16
6442.59,1.33E-14,2.13E-16
6445.34,1.34E-14,2.15E-16
6448.09,1.37E-14,2.18E-16
6450.84,1.37E-14,2.18E-16
6453.59,1.39E-14,2.19E-16
6456.34,1.34E-14,2.16E-16
6459.09,1.40E-14,2.21E-16
6461.84,1.37E-14,2.19E-16
6464.59,1.33E-14,2.16E-16
6467.34,1.37E-14,2.19E-16
6470.09,1.38E-14,2.20E-16
6472.84,1.34E-14,2.17E-16
6475.59,1.33E-14,2.17E-16
6478.34,1.33E-14,2.17E-16
6481.09,1.32E-14,2.16E-16
6483.84,1.31E-14,2.15E-16
6486.59,1.35E-14,2.19E-16
6489.34,1.35E-14,2.19E-16
6492.09,1.34E-14,2.18E-16
6494.84,1.32E-14,2.17E-16
6497.59,1.34E-14,2.18E-16
6500.34,1.35E-14,2.20E-16
6503.09,1.37E-14,2.21E-16
6505.84,1.32E-14,2.17E-16
6508.59,1.31E-14,2.16E-16
6511.34,1.29E-14,2.14E-16
6514.09,1.30E-14,2.15E-16
6516.84,1.30E-14,2.15E-16
6519.59,1.28E-14,2.13E-16
6522.34,1.26E-14,2.11E-16
6525.09,1.28E-14,2.13E-16
6527.84,1.33E-14,2.17E-16
6530.59,1.39E-14,2.23E-16
6533.34,1.49E-14,2.31E-16
6536.09,1.53E-14,2.34E-16
6538.84,1.59E-14,2.38E-16
6541.59,1.70E-14,2.46E-16
6544.34,1.82E-14,2.55E-16
6547.09,2.00E-14,2.69E-16
6549.84,2.32E-14,2.91E-16
6552.59,2.68E-14,3.16E-16
6555.34,3.13E-14,3.43E-16
6558.09,3.65E-14,3.74E-16
6560.84,4.38E-14,4.16E-16
6563.59,5.33E-14,4.69E-16
6566.34,6.40E-14,5.26E-16
6569.09,7.47E-14,5.83E-16
6571.84,8.43E-14,6.30E-16
6574.59,9.19E-14,6.67E-16
6577.34,9.93E-14,7.04E-16
6580.09,1.06E-13,7.36E-16
6582.84,1.09E-13,7.55E-16
6585.59,1.13E-13,7.77E-16
6588.34,1.17E-13,7.97E-16
6591.09,1.20E-13,8.11E-16
6593.84,1.24E-13,8.31E-16
6596.59,1.29E-13,8.57E-16
6599.34,1.36E-13,8.97E-16
6602.09,1.43E-13,9.32E-16
6604.84,1.47E-13,9.55E-16
6607.59,1.47E-13,9.57E-16
6610.34,1.42E-13,9.32E-16
6613.09,1.31E-13,8.80E-16
6615.84,1.14E-13,7.98E-16
6618.59,9.46E-14,7.07E-16
6621.34,7.55E-14,6.09E-16
6624.09,5.83E-14,5.17E-16
6626.84,4.53E-14,4.42E-16
6629.59,3.46E-14,3.76E-16
6632.34,2.74E-14,3.30E-16
6635.09,2.21E-14,2.94E-16
6637.84,1.86E-14,2.68E-16
6640.59,1.67E-14,2.54E-16
6643.34,1.55E-14,2.43E-16
6646.09,1.46E-14,2.36E-16
6648.84,1.42E-14,2.33E-16
6651.59,1.36E-14,2.29E-16
6654.34,1.33E-14,2.27E-16
6657.09,1.32E-14,2.26E-16
6659.84,1.28E-14,2.22E-16
6662.59,1.28E-14,2.23E-16
6665.34,1.28E-14,2.22E-16
6668.09,1.29E-14,2.23E-16
6670.84,1.25E-14,2.21E-16
6673.59,1.25E-14,2.21E-16
6676.34,1.28E-14,2.24E-16
6679.09,1.27E-14,2.23E-16
6681.84,1.26E-14,2.21E-16
6684.59,1.26E-14,2.22E-16
6687.34,1.26E-14,2.22E-16
6690.09,1.26E-14,2.23E-16
6692.84,1.27E-14,2.25E-16
6695.59,1.31E-14,2.27E-16
6698.34,1.33E-14,2.29E-16
6701.09,1.32E-14,2.28E-16
6703.84,1.33E-14,2.29E-16
6706.59,1.34E-14,2.32E-16
6709.34,1.38E-14,2.36E-16
6712.09,1.36E-14,2.35E-16
6714.84,1.40E-14,2.37E-16
6717.59,1.42E-14,2.40E-16
6720.34,1.45E-14,2.42E-16
6723.09,1.51E-14,2.48E-16
6725.84,1.59E-14,2.56E-16
6728.59,1.69E-14,2.66E-16
6731.34,1.86E-14,2.81E-16
6734.09,2.06E-14,2.98E-16
6736.84,2.26E-14,3.13E-16
6739.59,2.50E-14,3.32E-16
6742.34,2.72E-14,3.50E-16
6745.09,3.00E-14,3.72E-16
6747.84,3.19E-14,3.88E-16
6750.59,3.27E-14,3.94E-16
6753.34,3.20E-14,3.88E-16
6756.09,3.10E-14,3.82E-16
6758.84,2.99E-14,3.75E-16
6761.59,2.85E-14,3.66E-16
6764.34,2.63E-14,3.50E-16
6767.09,2.32E-14,3.26E-16
6769.84,2.00E-14,3.00E-16
6772.59,1.74E-14,2.77E-16
6775.34,1.58E-14,2.63E-16
6778.09,1.45E-14,2.52E-16
6780.84,1.36E-14,2.45E-16
6783.59,1.28E-14,2.37E-16
6786.34,1.24E-14,2.33E-16
6789.09,1.20E-14,2.29E-16
6791.84,1.20E-14,2.30E-16
6794.59,1.23E-14,2.33E-16
6797.34,1.21E-14,2.31E-16
6800.09,1.21E-14,2.31E-16
6802.84,1.19E-14,2.30E-16
6805.59,1.20E-14,2.32E-16
6808.34,1.25E-14,2.38E-16
6811.09,1.19E-14,2.31E-16
6813.84,1.19E-14,2.32E-16
6816.59,1.19E-14,2.32E-16
6819.34,1.18E-14,2.32E-16
6822.09,1.19E-14,2.33E-16
6824.84,1.18E-14,2.31E-16
6827.59,1.19E-14,2.32E-16
6830.34,1.19E-14,2.34E-16
6833.09,1.19E-14,2.36E-16
6835.84,1.18E-14,2.34E-16
6838.59,1.20E-14,2.36E-16
6841.34,1.20E-14,2.36E-16
6844.09,1.19E-14,2.36E-16
6846.84,1.19E-14,2.37E-16
6849.59,1.20E-14,2.37E-16
6852.34,1.19E-14,2.36E-16
6855.09,1.18E-14,2.36E-16
6857.84,1.19E-14,2.37E-16
6860.59,1.17E-14,2.35E-16
6863.34,1.17E-14,2.35E-16
6866.09,1.12E-14,2.31E-16
6868.84,1.01E-14,2.18E-16
6871.59,8.94E-15,2.05E-16
6874.34,8.57E-15,2.01E-16
6877.09,8.88E-15,2.04E-16
6879.84,9.45E-15,2.11E-16
6882.59,1.04E-14,2.23E-16
6885.34,1.05E-14,2.23E-16
6888.09,1.06E-14,2.25E-16
6890.84,1.04E-14,2.23E-16
6893.59,1.06E-14,2.26E-16
6896.34,1.04E-14,2.24E-16
6899.09,1.05E-14,2.25E-16
6901.84,1.05E-14,2.26E-16
6904.59,1.07E-14,2.28E-16
6907.34,1.08E-14,2.29E-16
6910.09,1.07E-14,2.29E-16
6912.84,1.05E-14,2.26E-16
6915.59,1.11E-14,2.33E-16
6918.34,1.13E-14,2.35E-16
6921.09,1.13E-14,2.35E-16
6923.84,1.12E-14,2.35E-16
6926.59,1.16E-14,2.40E-16
6929.34,1.15E-14,2.38E-16
6932.09,1.15E-14,2.39E-16
6934.84,1.11E-14,2.34E-16
6937.59,1.13E-14,2.37E-16
6940.34,1.13E-14,2.37E-16
6943.09,1.11E-14,2.35E-16
6945.84,1.10E-14,2.34E-16
6948.59,1.13E-14,2.38E-16
